prospect_id,mlb_player_id,name,position,mlb_debut_season,mlb_games,priority
8223,690976,Alex Freeland,SS,2025,29,high
8265,689200,Jacob Melton,CF,2025,32,medium
8332,687551,Drew Gilbert,CF,2025,39,medium
8183,700246,Carson Williams,SS,2025,32,medium
8338,687637,Dylan Beavers,CF,2025,35,medium
8211,695600,Carter Jensen,C,2025,20,medium
9261,701675,Nathan Church,CF,2025,27,medium
9517,805300,Jakob Marsee,CF,2025,55,medium
9516,694374,Tim Tawa,2B,2025,74,medium
8768,694362,Blake Dunn,CF,2024,49,medium
8289,694208,Moisés Ballesteros,C,2025,20,medium
8173,694212,Samuel Basallo,C,2025,31,medium
9492,664247,Kyle Garlick,LF,2021,116,medium
8364,694377,Nick Yorke,2B,2024,33,medium
8565,694376,Shay Whitcomb,2B,2024,40,medium
8959,685133,Wade Meckler,CF,2023,20,medium
9496,668939,Adley Rutschman,C,2022,505,medium
9509,682985,Riley Greene,LF,2022,486,medium
9498,669004,MJ Melendez,LF,2022,435,medium
9015,672012,Tyler Black,1B,2024,23,medium
9504,671284,Tim Elko,1B,2025,23,medium
9500,669304,Jose Miranda,3B,2022,298,medium
9103,683090,Matthew Lugo,LF,2025,31,medium
9489,640492,José Azocar,LF,2022,228,medium
8898,678489,Jorge Barrosa,CF,2024,41,medium
9495,668472,Nick Pratto,1B,2022,144,medium
9503,670223,Matt Mervis,1B,2023,78,medium
8864,678391,Jorbit Vivas,2B,2025,29,medium
9501,669392,Samad Taylor,2B,2023,38,medium
9497,668952,Ryan Kreidler,CF,2022,89,medium
9508,681297,Colton Cowser,LF,2023,271,medium
8939,676439,Hunter Feduccia,C,2024,43,medium
9513,687401,Joey Ortiz,SS,2023,306,medium
9499,669065,Kyle Stowers,LF,2022,234,medium
9510,683021,Michael Stefanic,2B,2022,99,medium
9505,676059,Jordan Westburg,3B,2023,260,medium
9511,683737,Michael Busch,1B,2023,334,medium
9506,676113,Zach DeLoach,RF,2024,22,medium
