target,model,r2,mae,mse
mlb_wrc_plus,Ridge,0.5092559197667583,17.707348571726715,737.6634195852379
mlb_wrc_plus,Random Forest,0.5175603948480895,14.949555407990395,725.1805232384422
mlb_wrc_plus,Gradient Boosting,0.4620362848220342,15.336884823338591,808.6417538900281
mlb_woba,Ridge,0.47303084492838443,0.05049780734150883,0.006136360761195416
mlb_woba,Random Forest,0.48713297256419197,0.042291930080437516,0.005972146704564382
mlb_woba,Gradient Boosting,0.45315776066280034,0.04184430155569341,0.006367775471748423
mlb_avg_ops,Ridge,0.4502739535193865,0.1178246500358718,0.035618800412657796
mlb_avg_ops,Random Forest,0.4751813489427791,0.09844404469136608,0.0340049573865456
mlb_avg_ops,Gradient Boosting,0.4313894017690324,0.0992415089776826,0.03684240093874655
mlb_avg_obp,Ridge,0.4656553407092654,0.053298454791445474,0.0070835767993382565
mlb_avg_obp,Random Forest,0.4727569634149885,0.04532294905250227,0.006989433648543624
mlb_avg_obp,Gradient Boosting,0.4484438656326991,0.0446716968008753,0.007311741904790201
mlb_avg_slg,Ridge,0.41612634380317715,0.06589851399210075,0.011890293145299696
mlb_avg_slg,Random Forest,0.44527242150381163,0.05538715387723662,0.011296747942124092
mlb_avg_slg,Gradient Boosting,0.37743402579644014,0.057351663418133254,0.012678242727693896
mlb_iso,Ridge,0.31247382675839497,0.026474531312205674,0.0025746128972101807
mlb_iso,Random Forest,0.2880040283207834,0.023506487485268606,0.0026662461485707353
mlb_iso,Gradient Boosting,0.2533295814351544,0.023788392919731838,0.00279609324622297
mlb_bb_rate,Ridge,0.3867788043731418,0.016242373226348084,0.0007390564420835868
mlb_bb_rate,Random Forest,0.3197003031656084,0.014868222023453769,0.0008198996986381194
mlb_bb_rate,Gradient Boosting,0.36169942162690316,0.014117934484683396,0.0007692822064802992
mlb_so_rate,Ridge,0.43525616218731833,0.054512387938747575,0.008508125820895445
mlb_so_rate,Random Forest,0.41493433377963507,0.047879984007058146,0.00881428351829128
mlb_so_rate,Gradient Boosting,0.3710357431736453,0.049403173698296415,0.009475635988611857
mlb_hr_rate,Ridge,0.2894584646499163,0.005022840811888457,8.281636935825001e-05
mlb_hr_rate,Random Forest,0.18570693246403291,0.004640970887138623,9.490901248115632e-05
mlb_hr_rate,Gradient Boosting,0.16123024471940894,0.004575338348217067,9.776186528718771e-05
