feature,importance
game_power_future,0.13630970856393262
power_upside,0.08803424895445625
raw_power_future,0.07736593019683354
hit_future,0.054602010671989186
speed_future,0.04612016331937933
fielding_upside,0.04253226174957008
batting_avg,0.03947921069515681
fielding_future,0.03835536808116053
hit_upside,0.03406429640897682
frame_grade,0.03392214075068096
avg_age,0.03348560876533219
hit_change,0.029207520157100743
arm_grade,0.02897588410229855
power_speed_number,0.028086448687656498
speed_upside,0.026114514907679517
total_hr,0.02546384351437067
fv_change_1yr,0.023423945185156843
isolated_power,0.02226932191518023
levers_encoded,0.02147408119369386
avg_slg,0.020894020548807717
avg_obp,0.019661758626266415
k_rate,0.018252162161166714
total_ab,0.01708256433476619
bb_k_ratio,0.017047991206730596
total_pa,0.016172889540327345
bb_rate,0.016140863771689985
athleticism_grade,0.015551916391647744
total_sb,0.015449656582318607
power_change,0.009889432914749446
highest_level,0.004417797839373885
played_a_plus,0.00015243826155024286
hard_hit_pct,0.0
played_aaa,0.0
played_aa,0.0
speed_change,0.0
