id,mlb_player_id,name,position,organization
9485,815983,Coy James,SS,WSH
9482,815824,Josiah Hartshorn,OF,CHC
9481,828262,Jaden Fauske,OF,CWS
9475,465321,Gabriel Rincones,OF,PHI
9474,803723,Jordan Yost,SS,DET
9473,681657,Elian Pena,SS,NYM
9469,828987,Briggs McKenzie,P,ATL
9464,815829,Ryan Mitchell,SS,STL
9463,815832,Xavier Neyens,3B,HOU
9460,816102,Landon Harmon,P,WSH
9457,815814,Billy Carlson,SS,CWS
9456,433592,Tony Blanco,1B,PIT
9455,815819,Sean Gamble,OF,KC
9454,828084,Daniel Pierce,SS,TB
9453,828173,Slater de Brun,OF,BAL
9452,815843,Josh Hammond,3B,KC
9450,674450,Hector Rodriguez,OF,CIN
9448,136601,George Lombard,SS,NYY
9447,815825,Seth Hernandez,P,PIT
9446,828098,JoJo Parker,SS,TOR
9445,829162,Steele Hall,SS,CIN
9444,650656,Luis Pena,SS,MIL
9420,805879,Connor Foley,DH,ARI
9413,802411,JT Quinn,SP,BAL
9391,829072,José Peña,SS,BAL
9351,834243,Sean Episcope,RP,MIL
9345,831273,Ethan Young,RP,STL
9338,702262,Jared Jones,1B,PIT
9335,802146,Aidan Major,SP,CLE
9307,825095,Drake George,DH,SFG
9274,805279,Jason Reitz,SP,MIN
9271,823791,Matt McShane,DH,BOS
9261,701675,Nathan Church,CF,STL
9236,804756,Jacob Morrison,SP,MIL
9226,683235,Justin Campbell,SP,CLE
9187,828774,Jack Hostetler,DH,MIL
9166,828497,Cole Peschl,SP,MIN
9141,804942,Cam Leiter,SP,LAD
9140,806067,James Ellwanger,SP,MIN
9127,804871,Brooks Bryan,C,KCR
9093,703680,Brandon Compton,LF,MIA
9070,805255,Dominick Reid,SP,CHC
9062,806053,Dean Curley,3B,CLE
9037,804530,Joseph Dzierwa,SP,BAL
9032,826536,Brian Curley,DH,ARI
9022,702504,Gavin Turley,LF,ATH
9018,830769,Nick Potter,DH,HOU
8982,801358,Jared Spencer,DH,TOR
8955,692117,Micah Bucknam,SP,TOR
8947,703603,Grant Jay,C,SEA
8940,804123,Joey Volini,SP,MIA
8915,802412,Malachi Witherspoon,DH,DET
8912,805260,Ethan Hedges,3B,COL
8911,691185,Maximo Acosta,SS,MIA
8908,702539,Zach Root,SP,LAD
8889,823745,Michael Salina,DH,SDP
8886,695602,Michael Massey,DH,DET
8878,827265,Cade Crossland,SP,STL
8863,703610,Justin Lamkin,SP,KCR
8858,823658,Daniel Dickinson,2B,MIL
8853,690984,Petey Halpin,CF,CLE
8841,834404,Jake Cook,CF,TOR
8836,805790,Cody Bowker,SP,PHI
8818,813533,Michael Lombardi,DH,KCR
8813,702668,Korbyn Dickerson,CF,SEA
8800,822477,JB Middleton,RP,COL
8793,702274,Chase Shores,DH,LAA
8772,805261,Cade Obermueller,SP,PHI
8742,695765,Thatcher Hurd,RP,NYY
8740,695705,Luke Holman,SP,CIN
8710,692226,Ty Floyd,SP,CIN
8703,685744,Kenedy Corona,CF,HOU
8691,830336,Mason Peters,DH,SEA
8674,809254,Anthony Eyanson,SP,BOS
8659,800624,Ben Jacobs,SP,DET
8651,827517,Kyle Lodise,SS,CHW
8636,804981,Riley Quick,SP,MIN
8633,702976,Griffin Hugus,SP,SEA
8614,805706,AJ Russell,SP,TEX
8572,822676,Alex Lodise,SS,ATL
8571,809763,Kaeden Kent,SS,NYY
8565,694376,Shay Whitcomb,2B,HOU
8562,804995,Henry Godbout,2B,BOS
8552,806233,Luke Stevenson,C,SEA
8548,702593,Jace LaViolette,CF,CLE
8500,804467,Patrick Forbes,SP,ARI
8499,829306,Nick Becker,SS,SEA
8497,702505,JD Thompson,SP,MIL
8476,696270,Ryan Johnson,RP,LAA
8439,809092,Murf Gray,3B,PIT
8429,672359,Tirso Ornelas,LF,SDP
8424,816111,Tate Southisene,SS,ATL
8403,815549,Ryan Sloan,SP,SEA
8377,701527,Mike Sirota,CF,LAD
8368,801573,Ryan Forcucci,SP,HOU
8367,815157,Owen Hall,SP,DET
8364,694377,Nick Yorke,2B,PIT
8353,815071,Marcus Phillips,SP,BOS
8348,815598,Dasan Hill,SP,MIN
8340,802419,Thomas Harrington,SP,PIT
8329,828255,Ethan Conrad,CF,CHC
8310,702264,Gavin Kilen,SS,SFG
8305,691373,Jhostynxon Garcia,CF,BOS
8304,800614,Bryce Rainer,SS,DET
8295,701398,Sal Stewart,3B,CIN
8294,150374,Jamie Arnold,SP,ATH
8265,689200,Jacob Melton,CF,HOU
8246,699625,Jimmy Crooks,C,STL
8237,803285,Tyler Bremner,SP,LAA
8236,804817,Kyson Witherspoon,SP,BOS
8227,801139,Payton Tolle,SP,BOS
8223,690976,Alex Freeland,SS,LAD
8212,695670,Harry Ford,C,SEA
8211,695600,Carter Jensen,C,KCR
8204,702056,Trey Yesavage,SP,TOR
8203,807739,Kade Anderson,SP,SEA
8195,683953,Travis Bazzana,2B,CLE
8188,824604,Liam Doyle,SP,STL
8183,700246,Carson Williams,SS,TBR
8173,694212,Samuel Basallo,C,BAL
