name,team,position,age,eta,level,rank
Jesus Made,MIL,SS,18,2027,AA,3
Luis Pena,MIL,SS,18,2028,A+,18
Josue Briceno,DET,C,21,2026,AA,48
Steele Hall,CIN,SS,18,2028,Rookie,55
JoJo Parker,TOR,SS,19,2028,Rookie,56
Seth Hernandez,PIT,P,19,2028,Rookie,59
Josuar Gonzalez,SF,SS,18,2029,Rookie,65
George Lombard,NYY,SS,20,2027,AA,68
Moises Ballesteros,CHC,C,21,2025,Majors,91
Kendry Chourio,KC,P,18,2028,A,92
Hector Rodriguez,CIN,OF,21,2026,AAA,109
Justin Gonzales,BOS,1B,18,2028,A+,113
Enrique Bradfield,BAL,OF,23,2026,AAA,117
Josh Hammond,KC,3B,19,2029,Rookie,124
Brady Ebel,MIL,3B,18,2029,A,125
Slater de Brun,BAL,OF,18,2029,Rookie,128
Daniel Pierce,TB,SS,19,2029,Rookie,129
Sean Gamble,KC,OF,19,2028,Rookie,130
Kevin Alcantara,CHC,OF,23,2024,Majors,145
Tony Blanco,PIT,1B,20,2029,A,168
Billy Carlson,CWS,SS,19,2029,Rookie,171
Abimelec Ortiz,TEX,1B,23,2026,AAA,176
Roldy Brito,COL,SS,18,2029,A,179
Luis De Leon,BAL,P,22,2027,AA,186
Landon Harmon,WSH,P,19,2029,Rookie,202
Gage Stanifer,TOR,P,21,2027,A+,203
Carson Roccaforte,KC,OF,23,2027,AA,208
Xavier Neyens,HOU,3B,18,2029,Rookie,213
Ryan Mitchell,STL,SS,18,2029,Rookie,214
Aron Estrada,BAL,2B,20,2027,AA,218
Ethan Dorchies,MIL,P,18,2029,A,219
Ethan Frey,HOU,OF,21,2028,A,223
Sam Antonacci,CWS,2B,22,2027,AA,225
Leandro Lopez,TEX,P,23,2027,AA,227
Briggs McKenzie,ATL,P,19,2029,Rookie,228
Esmerlyn Valdez,PIT,OF,21,2027,AA,229
Tyler Renz,MIL,P,18,2029,A,235
Brendan Jones,NYY,OF,23,2027,AA,249
Elian Pena,NYM,SS,17,2029,Rookie,256
Zachary Root,LAD,P,21,2027,Rookie,261
Jordan Yost,DET,SS,18,2029,Rookie,263
Gabriel Rincones,PHI,OF,24,2026,AAA,266
Junior Perez,ATH,OF,24,2026,AAA,271
Wuilfredo Antunez,CLE,OF,23,2027,AA,272
Parks Harber,SF,3B,24,2027,A+,273
Ramon Marquez,PHI,P,20,2028,A,276
Handelfry Encarnacion,MIL,OF,18,2029,Rookie,281
J.D. Thompson,MIL,P,22,2027,Rookie,294
Jaden Fauske,CWS,OF,18,2029,Rookie,295
Josiah Hartshorn,CHC,OF,18,2029,Rookie,300
Adrian Bohorquez,MIN,P,20,2027,A+,304
Antwone Kelly,PIT,P,22,2027,AA,315
Dalton Pence,TEX,P,23,2027,A+,317
Coy James,WSH,SS,18,2029,Rookie,319
Lucas Spence,HOU,OF,22,2027,AA,324
Nick Morabito,NYM,OF,22,2027,AA,325
Deniel Ortiz,STL,3B,21,2028,A+,326
Rayven Antonio,ATL,P,19,2028,A,328
Cooper Flemming,TB,SS,19,2029,Rookie,330
Aidan West,LAD,SS,18,2029,Rookie,331
Sam Petersen,WSH,OF,22,2027,A+,334
James Tibbs,LAD,OF,23,2027,AA,337
Cade Smith,NYY,P,23,2027,A+,338
Sheng-En Lin,CIN,P,125,2029,A,346
Frank Cairone,MIL,P,18,2028,Rookie,347
Johanfran Garcia,BOS,C,20,2028,A+,348
Blaine Bullard,TOR,OF,19,2029,Rookie,352
Eliazar Dishmey,MIA,P,20,2028,A+,353
Dean Moss,TB,OF,19,2029,Rookie,358
Miguel Sime,WSH,P,18,2030,Rookie,365
Luis Arana,MIA,SS,17,2030,Rookie,375
Victor Figueroa,BAL,1B,21,2028,A+,378
Ryan Wideman,SD,OF,21,2029,A,379
Conor Essenburg,ATL,OF,19,2029,Rookie,380
Aaron Watson,CIN,P,18,2029,Rookie,382
Matthew Fisher,PHI,P,19,2029,Rookie,386
Sean Paul Linan,WSH,P,20,2027,A+,387
Fenwick Trimble,MIA,OF,23,2027,AA,388
Jesus Travieso,BOS,P,18,2029,A,393
