mlb_player_id,name,position,game_log_count,first_season,last_season,pa_game_count,total_pas,coverage_status
693850,Kala'i Rosario,RF,477,2021,2025,0,0,NO_PA_DATA
686445,Sammy Siani,RF,464,2021,2025,0,0,NO_PA_DATA
694214,Samuel Zavala,CF,443,2021,2025,0,0,NO_PA_DATA
694224,Gabriel Gonzalez,RF,441,2021,2025,0,0,NO_PA_DATA
686551,Christian Cairo,SS,423,2021,2025,0,0,NO_PA_DATA
691410,Jose Devers,SS,395,2021,2025,0,0,NO_PA_DATA
692657,Omar Alfonzo,C,358,2021,2025,0,0,NO_PA_DATA
691398,Yerlin Confidan,RF,358,2021,2025,0,0,NO_PA_DATA
676439,Hunter Feduccia,C,339,2021,2024,0,0,NO_PA_DATA
681047,Christian Franklin,CF,338,2021,2025,0,0,NO_PA_DATA
703154,Yordany De Los Santos,SS,314,2022,2025,0,0,NO_PA_DATA
700731,Keiner Delgado,SS,311,2022,2025,0,0,NO_PA_DATA
694194,Miguel Bleis,CF,309,2021,2025,0,0,NO_PA_DATA
703153,Samuel Munoz,LF,305,2022,2025,0,0,NO_PA_DATA
800193,Kelvin Hidalgo,SS,292,2022,2025,0,0,NO_PA_DATA
700341,Kenny Castillo,C,283,2021,2025,0,0,NO_PA_DATA
683344,Homer Bush Jr.,CF,279,2023,2025,0,0,NO_PA_DATA
702258,Druw Jones,CF,273,2023,2025,0,0,NO_PA_DATA
683090,Matthew Lugo,LF,267,2021,2024,0,0,NO_PA_DATA
691011,Drew Romo,C,264,2021,2025,0,0,NO_PA_DATA
