rank,name,team,position,level,age
65,Josuar Gonzalez,SF,SS,Rookie,18
125,Brady Ebel,MIL,3B,A,18
176,Abimelec Ortiz,TEX,1B,AAA,23
223,Ethan Frey,HOU,OF,A,21
261,Zachary Root,LAD,P,Rookie,21
294,J.D. Thompson,MIL,P,Rookie,22
304,Adrian Bohorquez,MIN,P,A+,20
326,Deniel Ortiz,STL,3B,A+,21
328,Rayven Antonio,ATL,P,A,19
330,Cooper Flemming,TB,SS,Rookie,19
331,Aidan West,LAD,SS,Rookie,18
334,Sam Petersen,WSH,OF,A+,22
337,James Tibbs,LAD,OF,AA,23
338,Cade Smith,NYY,P,A+,23
346,Sheng-En Lin,CIN,P,A,125
347,Frank Cairone,MIL,P,Rookie,18
348,Johanfran Garcia,BOS,C,A+,20
352,Blaine Bullard,TOR,OF,Rookie,19
353,Eliazar Dishmey,MIA,P,A+,20
358,Dean Moss,TB,OF,Rookie,19
365,Miguel Sime,WSH,P,Rookie,18
375,Luis Arana,MIA,SS,Rookie,17
378,Victor Figueroa,BAL,1B,A+,21
379,Ryan Wideman,SD,OF,A,21
380,Conor Essenburg,ATL,OF,Rookie,19
382,Aaron Watson,CIN,P,Rookie,18
386,Matthew Fisher,PHI,P,Rookie,19
388,Fenwick Trimble,MIA,OF,AA,23
393,Jesus Travieso,BOS,P,A,18
